,Average,Points
aidan,,
Infinite,7.071428571,99
SHINee,6.894736842,131
Big Bang,6.409090909,141
2PM,5.909090909,65
Beast,5.1875,83
Super Junior,2.571428571,54
Average,5.563106796,
Total Points,573,
Mode,6,
Aubrey,,
SHINee,8.105263158,154
Super Junior,7.047619048,148
Big Bang,6.772727273,149
Beast,6.25,100
2PM,6.181818182,68
Infinite,6.142857143,86
Average,6.844660194,
Total Points,705,
Mode,8,
Barron,,
Infinite,6.428571429,90
SHINee,6.052631579,115
Beast,5.25,84
Super Junior,4.380952381,92
Big Bang,3.181818182,70
2PM,2.909090909,32
Average,4.689320388,
Total Points,483,
Mode,4,
claudia,,
SHINee,8.736842105,166
Infinite,8.571428571,120
Beast,8.125,130
Big Bang,6.545454545,144
Super Junior,5.80952381,122
2PM,5.181818182,57
Average,7.174757282,
Total Points,739,
Mode,"8, 10",
Cooper,,
Infinite,9.214285714,
SHINee,8.473684211,
Big Bang,7.681818182,
Beast,7.3125,
Super Junior,5.904761905,
2PM,5.181818182,
Average,7.349514563,
Total Points,757,
Mode,8,
Dubi,,
Infinite,7.642857143,107
SHINee,7.315789474,139
Big Bang,7.136363636,157
2PM,6.545454545,72
Beast,5.9375,95
Super Junior,5.714285714,120
Average,6.699029126,
Total Points,690,
Mode,7,
Egg,,
SHINee,7.894736842,150
Infinite,6.428571429,90
Super Junior,5.80952381,122
2PM,4.909090909,54
Beast,4.125,66
Big Bang,4.090909091,90
Average,5.553398058,
Total Points,572,
Mode,7,
Eye Smile,,
SHINee,7,133
Big Bang,6.181818182,136
Super Junior,5.904761905,124
2PM,5.636363636,62
Beast,5.5625,89
Infinite,4.785714286,67
Average,5.932038835,
Total Points,611,
Mode,6,
Fleur,,
2PM,6.454545455,71
SHINee,6.421052632,122
Infinite,6.285714286,88
Big Bang,6.227272727,137
Super Junior,6.095238095,128
Beast,5.6875,91
Average,6.184466019,
Total Points,637,
Mode,6,
FlixerDK,,
SHINee,8.421052632,160
2PM,7.363636364,81
Infinite,7.357142857,103
Big Bang,7.318181818,161
Beast,6.5,104
Super Junior,6.333333333,133
Average,7.203883495,
Total Points,742,
Mode,6,
Jade,,
Infinite,8.571428571,120
SHINee,7.894736842,150
Big Bang,7.636363636,168
Beast,7.3125,117
Super Junior,6.857142857,144
2PM,6.363636364,70
Average,7.466019417,
Total Points,769,
Mode,8,
Joccarri,,
SHINee,7.421052632,141
Infinite,6.642857143,93
Big Bang,6.454545455,142
2PM,6.090909091,67
Super Junior,5.619047619,118
Beast,3.3125,53
Average,5.961165049,
Total Points,614,
Mode,10,
Lynne,,
Infinite,9.5,133
SHINee,9.421052632,179
Big Bang,9.227272727,203
2PM,8.272727273,91
Super Junior,7.761904762,163
Beast,7.5,120
Average,8.631067961,
Total Points,889,
Mode,10,
Marlon,,
SHINee,7.052631579,134
Infinite,6.785714286,95
Big Bang,6.090909091,134
Beast,6,96
2PM,5.545454545,61
Super Junior,5,105
Average,6.067961165,
Total Points,625,
Mode,6,
Nate,,
SHINee,9.736842105,185
Infinite,9.357142857,131
Big Bang,8.090909091,178
2PM,8,88
Super Junior,7.857142857,165
Beast,7.6875,123
Average,8.446601942,
Total Points,870,
Mode,10,
Paige,,
SHINee,8.736842105,166
Infinite,8.428571429,118
Beast,6.5625,105
Big Bang,4.954545455,109
2PM,4.909090909,54
Super Junior,4.761904762,100
Average,6.330097087,
Total Points,652,
Mode,10,
Sam,,
Infinite,9.357142857,131
SHINee,8.789473684,167
Big Bang,8.045454545,177
Beast,6.25,100
Super Junior,5.714285714,120
2PM,4.909090909,54
Average,7.27184466,
Total Points,749,
Mode,10,
Sammi,,
SHINee,9.578947368,182
Infinite,9.5,133
Super Junior,8.285714286,174
Beast,7.875,126
Big Bang,7.863636364,173
2PM,7.545454545,83
Average,8.45631068,
Total Points,871,
Mode,10,
