Song,aidan,Aubrey,Barron,claudia,Cooper,Dubi,Egg,Eye Smile,Fleur,FlixerDK,Jade,Joccarri,Lynne,Marlon,Nate,Paige,Sam,Sammi
Super Junior,,,,,,,,,,,,,,,,,,
Twins,this song was mixed by my dog but the vocals are okay?,The rock aspect reminded me of the music my dad used to play and the dance break music reminded me of Twisted Metal. Both pleasant memories for me. (wtf is wrong with Heechul's face),,I never heard Twins before... it's aiight,Pretty bad debut,,https://i.imgur.com/IlwywMx.png,"I was peer pressured into giving this an 11, so I didn't. (egg)",,,"I liked it a lot more before the weird english section. The background was doing interesting stuff, that you don’t hear much of anymore in the kpop realm.i wish there was more of that style!",A lot of,Decent start,This is epic,"11/10 hair, bring back boy group anime hair.",,wow very cool so epic,Gives you the early 2000's kpop feel. With the good bad and ugly hair cuts that come with it.
Miracle,"i sort of like it if im listening to it through my headphones but like, my headphones arent on my head, the audio is just kinda muffling out of the ear cups and it's really hard to distinguish what's being said yeah",Cute Suju is great but that dance break section is so out of place.,im honestly in awe of how bad this song is,,,,"life could get better, this song too. thx suju","Honestly I liked the chorus but meh most of the rest, the dance break is a bit long",,,"This is the type of guy group song I hate. Just, why? I feel like every group has a song like this, and i hate almost all of them. Even the early Nu’est one called Sandy.",Early Super,Its nice...I guess,"This is so cheesy, the dance break killed me. It could be a guilty pleasure for me in the future though",11/10 rock version from concerts,,,
U,huh well that's certainly a song that was produced and released for the public now isn't it,"Chorus is good but that is it. (Seriously, who taught Heechul how to act?)",oof that mv,Started liking it once I saw SVT do a cover of it,,,espanol gita reminds me of Like I Love You by Just Timber. also sounds like a backstreet boys song,"It's so repetitive, I can't stop thinking 'bout how I wanted it to have more variation",,,"This is the song I think of when I hear Super Junior. I love it, its really dated but I dont care. So catchy that you will never get it out of your head. Maybe a little repetitive though. I really like the vocals in this also.",Not this one,My favorite Super Junior Song For sure it just hits all the right 2000's pop music notes for me.,This is such a classic boy band sound. Is it good? I don't know... maybe. The vocals are good,11/10 Yoona cameo,,Gettin' those '90s vibes,
Don't Don,haahahAHAHAHAAh,More of my dad's music and Twisted Metal. The violin was a pleasant surprise.,i actually dig the metal but the rapping is garbage,Like Twins.... it's aiight,,,"its like suju sang over a Disturbed nu-metal track, with shitty Disturbed screams in the chorus included","Not sure how to not sound like I'm ripping this one apart but I just got bored. Shout singing half the time, sucky bridge",,,"The intro feels straight out of an early step up movie. The guitar is cool. It takes way too long to get to the vocals. I really like the guitar in the background. Rap is really fast but sometimes also feels weird at times too. The instrumental/dance break needs to go though, there is already enough of an intro at the start without singing. That really brings down the songs score. Violin and guitar at the same time sounds like they didnt know what to do so they put them together, it sounds busy there.",Junior songs,Nice Violin solo Henry!,More like don't play this song near me,"11/10 hard rock instrumentals and screaming, 12/10 violin solo",,,Don't don is early suju and a lot of mid 2000's kpop at it's worst.
Marry U,"so, youve decided to release this song: here's 10 reasons why you should reconsider",The talk rap is too much bad. I absolutely can not listen to this song. Also since when did the cute love song need the mv on crack?,deserves a 0,Not very memorable,,,a bland love song,"Needed more ballady type elements for me, the constant percussion line gets stale and should have been hidden a lot more in the background mix",,"That Heechul opening is exceptionally bad, and the song is so boring. It was originally a 2.","I like this better than miracle. Something about this feels less cutesy, and more romantic. I also like the rap. Its meh, but seems like a great wedding song.",Are bad,ehh never cared for this type of super sappy,"I initially rated this a 3, I don't know why. It's pretty sweet sounding",11/10 white suits,Yikes,This is actually painful.,
Sorry Sorry,i have had enough of boy groups covering his goddamn fucking song seriously what the hell,You're in denial if you say you don't love this.,unapologetically fun,Iconic but meh,,,eat shit felix its a classic,Despite the over-saturation of auto tune around that time it's used tastefully here so I appreciated that,,,,I stan this song but because of Shinee,"The first song I discovered after SNSD's Oh!, still catch and fun to this day!","Iconic, don't @ me",11/10 choreo and catchyness,,I bought this song only having heard the chorus. Didn't realize the verses were absolute shit until it came on while I was driving.,It's iconic. With the dance and the mv it would be a 10 but just the song on it's own losses some points.
It's You,"i mean, i guess? like i mean, sure, why not, but like; why?","The galloping sound should of never been a thing, otherwise it is amazing.",would be better if it had a consistent tempo,Better than Sorry Sorry,,,,If I was a teenage girl I might swoon so I gave it +1 for that,,My favorite Suju song.,,I sing Yesung's high notes full volume no matter where I am.,Scratch that this...THIS is my favorite SJ song of all time....sooooo amazing!,"This song is pretty memorable, not sure that means I like it",11/10 falsetto echo,I’ve loved this song for forever and I still don’t know why uhhhh,,Super Juniors best song. Song that got me into super junior
Bonamana,heheh funny song title :),Why is only Donghae randomly a magician?,,,,,Fun fact: Apparently they slipped Michael Jackson's choreographer a two dollar bill for his sloppy seconds.,"보고봐도 sounds like ""Poke her butthole""",,,"Of their “catchy” title tracks this is my least favorite. I really like when they are all singing together, but dont love the rest.The background is so basic and repetitive. This is a case of the song aging, and nostalgia can’t save it.",I like but not everyday,Another bop woot woot,This song annoys me,11/10 autotune,,This slightly sounds like Hit That Drum,
No Other,very interested in the people who thought those synths were ever supposed to be used like that in a song,This is the correct kind of cute concept.,the opposite of :shindong_nice:,,,,bro they raided bieber's studio again,The background adlibs and harmonies are what saved this from a lower score,,,,Nope,Its the better of their super sweet songs but still doesn't blow me away,"If I was a boy band member and I had to record, sing and dance this song... I'd rather shoot myself in the foot",11/10 VW Bug,,Whoa referencing another song within the song? cool,
Mr. Simple,"this song is actually good for the first 30 seconds and i was about to be like, ""hey, super junior finally did something!"", and then apparently someone shot the producer with a .45 for daring to make a good song or some shit as the MV fades to black seriously what in the everloving fuck","I could never skip this, it is a classic.",,Better than Sorry Sorry. Top 5 SuJu song for me,,,,"Listen, I love this song, but rating it makes me realize how musically uninteresting it is. Fuckkkkkkk",,,,Super Junior blow your mind,"Because I naughty naughty, the second SJ song I discovered back in 2011 wow time flies. I prefer the b sides in this album tho.","Talented, brilliant, incredible, amazing, show stopping, spectacular, never the same, totally unique, completely not ever been done before",11/10 because I naughty naughty,,,"Great song that I am surprised still works so well, didn't think I would,"
A-CHa,the beats kinda weird on this one in comparison to everything ive listened too before this but at the same time it still sucks so i mean \ o /,Vocals when they happen are great but otherwise nothing too special.,,,,,"SM really loving Chas, first with f(x), now Suju, i fuck the instrumental tho",This song sounds like something I made in garage band when I was a kid.,,,,Yesung back with his aggressive adlibs,This song bangs,A lot of noise,11/10 weird half glove on one hand,,,
"Sexy, Free & Single",starting to doubt whether we are really that different as a species from my cat who enjoys repeatedly ramming her head against the table leg,I love bingo but I'll never understand who'd okay this English.,B I N G O,,,,Beginning of the song sounds like someone farting into the mic. Also BDSM concept i stan,"Me: Free & Single, never manage to mingle",,,,This song holds the same spot in my heart as Run Devil Run,Was never crazy about this one either,I know I shouldn't say anything about the MV but the MV has given me many laughs in the past. When K-Pop was very new to me I showed it to my friends because it's hilarious,"11/10 ""I'm ready to mingle"" would have rhymed better and fit the song....",The epitome of cringe,It sounds like someone is slowly ripping out a fart at the beginning,Another iconic song that works better with the mv and dance then just on it's own.
Spy,i mean at this point i am seriously done with all of these suju songs they're just... so bad. i think i'm gonna make some toast or something yeah toast sounds good,It genuinely pissed me off the main vocalist voices had to be messed with so much.,had potential but doesnt quite come together,It was good for it's time...,,,Immigrant Song by Led Zep,Thank god for the bridge or I'd give it a 1,,"This is weird, the chorus and the spy theme doesn't fit together at all.",,Not a fan,Like the James Bond omage this was,I like spy themed stuff usually,11/10 S.P.Y. part that doesn't fit the rest of the song,,,This is the worst super junior song. The concept is great and trying to do I bond thing should work but for some reason it doesn't
Mamacita,should i put peanut butter or vegemite on my toast? ive accidentally taken both out of the pantry,"First Suju song I ever added, I have a soft spot for it.",:no_entry_sign: :tongue:,,,,,"Midi instruments booo, -2",,"Love the No Diggity vibe, even though it's mixed with Latin.","That line, that line lowered its score one number.",Iconic English lines,I liked Kangin's Cabbage man scene,I'm glad I relistened to this because I rated it quite poorly. I don't like the ay yayaya though,11/10 Siwon mustache,,,
This is Love,you guys ever feel like youre staring into the void and the void stares back? haha anyways i think my toast is up,Guilty pleasure of mine.,,,,,yeah this is love to my ears,"Groovy rhythm , great jazz piano chords, harmony hidden in the back",,,,I like the live stage,Mature SJ is appreciated,I like it,11/10 Heechul's Carmen Sandiego look,,,
Evanesce,"update: the toast is pretty good, went with peanut butter this time. mightve put me in a better mood yknow this songs not as carcinogenic as the others",This song is just all around beautiful.,,,,,TELL ME WHYYYY this song is actually good,Yeah just not into this one,,,,Once again it depends on the day,OH DAUM this was nice,Oh this isn't evanescence,11/10 guyliner,Favorite Suju song hands down,,
