,Percentage,Standard Dev
aidan,,
Fleur,62.14%,1.400483334
Marlon,59.42%,1.524055392
Dubi,59.42%,1.517190278
Egg,57.86%,1.572111193
Sam,56.12%,1.647627451
Aubrey,55.15%,1.743739053
Paige,54.76%,1.681953023
Eye Smile,53.79%,1.716278595
Jade,52.82%,1.798659968
FlixerDK,51.65%,1.805525082
Cooper,50.68%,1.812390196
Claudia,49.32%,1.853580883
Joccarri,48.35%,1.970287827
Barron,47.77%,1.977152942
sammi,43.69%,2.238027288
Lynne,42.52%,2.265487746
Nate,42.33%,2.244892402
,,
Aubrey,,
Fleur,63.11%,1.33183219
Jade,62.91%,1.318101961
Dubi,62.72%,1.366157762
Eye Smile,61.94%,1.427943791
Sam,60.78%,1.414213562
Cooper,60.19%,1.44167402
claudia,60.00%,1.44167402
FlixerDK,59.42%,1.462269363
Marlon,58.64%,1.524055392
Nate,58.64%,1.475999592
Sammi,58.45%,1.496594935
Paige,58.25%,1.544650736
Lynne,57.48%,1.55151585
Egg,57.48%,1.530920507
aidan,55.15%,1.743739053
Joccarri,49.13%,1.915366912
Barron,42.14%,2.183106373
,,
Barron,,
Egg,52.23%,1.736873938
Eye Smile,49.51%,1.867311111
Joccarri,48.54%,1.984018056
Paige,47.96%,2.038938971
Aidan,47.77%,1.977152942
Fleur,45.63%,2.004613399
Claudia,44.85%,2.128185458
Marlon,43.88%,2.114455229
Dubi,42.33%,2.203701716
Aubrey,42.14%,2.183106373
Sam,41.36%,2.320408661
FlixerDK,40.97%,2.299813317
Jade,40.00%,2.251757517
Cooper,39.61%,2.320408661
Nate,32.62%,2.725450409
Lynne,30.49%,2.897078269
sammi,30.29%,2.746045752
,,
Claudia,,
Cooper,72.43%,1.0023067
Jade,68.74%,1.11214853
Sam,66.60%,1.194529902
Sammi,64.85%,1.290641504
Lynne,63.11%,1.33183219
Nate,62.33%,1.366157762
FlixerDK,61.17%,1.407348448
Marlon,60.58%,1.44167402
Aubrey,60.00%,1.44167402
Fleur,59.22%,1.510325164
Paige,58.83%,1.489729821
Dubi,57.86%,1.503460049
Egg,55.92%,1.668222794
Eye Smile,55.15%,1.647627451
Aidan,49.32%,1.853580883
