Song,Average,Total,Controversy,Jade,Lynne,Paige,Egg,claudia,Barron,Dubi,Marlon,Sam,Sammi,aidan,Cooper,Joccarri,Eye Smile,FlixerDK,Fleur,Nate,Aubrey,,,,
Super Junior (21),,,,,,,,,,,,,,,,,,,,,,,,,
Twins,4.444444444,80,1.789584974,5,6,1,4,5,3,7,4,6,6,3,4,1,5,3,6,4,7,,,,
Miracle,3.722222222,67,2.396211607,3,5,2,3,2,0,6,3,5,7,1,1,1,4,6,4,9,5,,,,
U,6,108,2.543735095,7,10,2,6,7,3,4,7,8,8,1,6,8,6,4,10,7,4,,,,
Don't Don,4.388888889,79,2.703785775,4,8,2,1,5,4,5,1,7,5,1,7,1,2,4,5,10,7,,,,
Marry U,3.111111111,56,2.246275058,6,4,1,3,4,1,5,6,0,5,1,4,1,4,0,5,6,0,,,,
Sorry Sorry,7.055555556,127,2.460803843,8,9,6,8,6,10,2,8,4,8,2,7,9,8,6,6,10,10,,,,
It's You,7.555555556,136,2.092626332,9,10,9,7,8,5,5,6,4,10,4,8,10,6,10,8,8,9,,,,
Bonamana,5.444444444,98,2.874271718,6,10,3,7,5,7,1,1,4,9,1,5,6,8,7,2,8,8,,,,
No Other,4.5,81,2.74933147,4,6,2,2,3,1,5,2,5,10,3,4,1,4,9,4,9,7,,,,
Mr. Simple,6.333333333,114,2.249182858,6,8,3,6,7,8,4,7,7,10,1,6,7,6,7,4,7,10,,,,
A-CHa,5.222222222,94,1.832887646,5,9,3,4,6,6,6,3,4,8,3,6,8,5,6,3,5,4,,,,
"Sexy, Free & Single",5.5,99,2.640187159,8,6,1,2,7,5,4,3,5,9,1,5,10,7,7,4,8,7,,,,
Spy,4.666666667,84,2.497057091,10,7,3,7,5,4,8,3,2,6,2,1,3,2,3,6,7,5,,,,
Mamacita,6.666666667,120,2.114376559,6,6,7,8,6,3,9,6,6,10,1,7,8,6,9,7,8,7,,,,
This is Love,6.388888889,115,2.35494196,8,8,2,10,5,4,8,6,6,8,1,8,5,8,5,7,8,8,,,,
Evanesce,6.888888889,124,2.470743848,6,9,10,7,8,2,7,4,9,9,4,9,5,3,10,6,7,9,,,,
Devil,8.333333333,150,1.028991511,8,7,8,9,9,6,7,9,9,9,8,8,8,10,8,8,9,10,,,,
Magic,7.666666667,138,1.644956642,7,8,8,8,7,4,7,10,9,8,10,8,4,7,9,9,8,7,,,,
Black Suit,8.388888889,151,1.500544563,10,9,10,8,8,7,8,6,8,10,5,8,10,8,9,10,10,7,,,,
Lo Siento,7.555555556,136,2.525685049,10,10,10,7,6,5,5,7,8,9,1,8,10,8,4,9,10,9,,,,
One More Time,5.5,99,2.572478777,8,8,7,5,3,4,7,3,4,10,0,4,2,7,7,5,7,8,,,,
Total,5.968253968,2256,2.25184093,144,163,100,122,122,92,120,105,120,174,54,124,118,124,133,128,165,148,#REF!,#REF!,#REF!,0
Big Bang (22),,,,,,,,,,,,,,,,,,,,,,,,,
We Belong Together,5.055555556,91,2.12747357,5,7,3,2,2,2,7,5,5,7,4,8,8,4,6,5,8,3,,,,
La La La,4.611111111,83,2.569936801,8,9,2,1,4,4,4,7,7,7,3,4,8,0,2,4,5,4,,,,
Forever With U,5.222222222,94,2.129776447,5,7,5,2,3,3,7,3,3,7,5,9,9,3,6,5,7,5,,,,
Dirty Cash,4.5,81,2.455486055,4,6,1,2,5,1,4,2,9,5,2,7,2,6,6,4,8,7,,,,
Lies,6.777777778,122,2.624669291,9,10,4,3,7,4,5,1,8,8,11,7,7,8,6,6,10,8,,,,
Last Farewell,5.388888889,97,2.72545493,7,8,2,2,4,1,6,1,9,8,6,6,7,5,10,3,7,5,,,,
Haru Haru,8.444444444,152,1.652884189,8,11,7,8,9,9,5,5,9,10,10,8,9,10,8,7,10,9,,,,
Sunset Glow,4.777777778,86,2.263665834,5,9,2,2,5,1,6,4,8,7,5,5,2,5,5,4,8,3,,,,
Tonight,6.444444444,116,2.430739956,9,10,3,3,7,2,8,6,5,10,5,9,7,5,7,5,9,6,,,,
Love Song,6.944444444,125,2.208865086,7,9,6,2,8,2,8,7,7,8,5,7,10,8,8,6,10,7,,,,
Blue,7.333333333,132,1.84709629,9,10,5,5,7,7,5,10,10,7,7,8,5,6,6,7,10,8,,,,
Bad Boy,7,126,2.275185836,8,9,4,4,8,3,10,9,10,8,3,9,6,6,8,8,7,6,,,,
Fantastic Baby,7.555555556,136,2.357022604,9,10,0,6,9,6,6,9,9,9,6,7,9,9,8,6,9,9,,,,
Monster,7.388888889,133,2.404380534,10,10,7,4,10,4,8,4,7,7,5,10,5,11,9,8,9,5,,,,
Loser,8.444444444,152,2.006525303,10,10,5,8,10,4,10,9,9,8,9,9,5,8,10,11,7,10,,,,
Bae Bae,6.555555556,118,2.548868774,7,10,4,3,3,2,9,7,8,7,8,7,8,6,10,10,5,4,,,,
