Month,Group/Artist,Song,Score,Comment,Youtube Link,Rules:,https://docs.google.com/document/d/1fCOUayB2IzAe-MgeLFxAJ3PdbElL-ArnGOlHI-gQH2I/edit?usp=sharing,Song Count:,201
One ,Hoony Hoon,In the Air ft Giyu ,5,,https://www.youtube.com/watch?v=7hl-1xyFyyY,,,,
One,Verbal Jint,"Storm ft Swings, Kanto ",5,,https://www.youtube.com/watch?v=iqktBS7lELI,,,,
One,MC Sniper ,"14 Round ft. Egobomb, Quartz ",5,,https://www.youtube.com/watch?v=wD7qzNrQBvY,,,,
One,"45RPM, IItong ",Headbutt ,7,,https://www.youtube.com/watch?v=k4kbzSlpbo0,,,,
One,"Joosuc, Kim Jeong- hoon ",The Last Supper ,6,,https://www.youtube.com/watch?v=04p0GYdldr0,,,,
One ,"Double K, Loco",Home ft Jinsil ,8,,https://www.youtube.com/watch?v=Qv-zWm9MzM0,,,,
One,MC Sniper ,"I Love You ft Loco, Seung-yeon ",7,,https://www.youtube.com/watch?v=ZzhWWYrHscg,,,,
One,MC Sniper,"Sunset Glow/ Red Sunset ft Kim Ji-soo, Egobomb ",5,,https://www.youtube.com/watch?v=kX50YWKnwPs,,,,
One,N/A,,,,,,,,
Two,J'kyun ,Heavan ft Oh Sumin,7,,https://www.youtube.com/watch?v=1M4v-gKZ7LI,,,,
Two,"Soul Drive, Wutan ",Please Wait ft lee Seong-su ,2,,https://www.youtube.com/watch?v=C0CXDV7O_hA,,,,
Two,Zizo ,Like that ,4,,https://www.youtube.com/watch?v=2vYA5Cms53I,,,,
Two,Soul Drive ,Missing ,6,,https://www.youtube.com/watch?v=_BCgsJiLnf0,,,,
Two,N/A,,,,,,,,
Three ,Olltii,Oll' Ready ,8,,https://www.youtube.com/watch?v=C1-bt11c5TY,,,,
Three ,Yuk Ji-dam ,Ulleri,5,,https://www.youtube.com/watch?v=Z0ZQFXBTI4Y,,,,
Three ,BI,Be I ,6,,https://www.youtube.com/watch?v=pBSKYG0yYIg,,,,
Three ,Iron ,I AM,5,,https://www.youtube.com/watch?v=1P4otUq474k,,,,
Three ,Bobby ,Go,3,"What is this screaming, its hilarious",https://www.youtube.com/watch?v=0LmpqhVG6QM,,,,
Three ,Vasco aka Bill Stax,Guerrilla's Way ,5,,https://www.youtube.com/watch?v=SWrHa0vpjOM,,,,
Three ,Bobby ,"L4L (lookin' for luv) ft Dok2, The Quiett ",2,I have determined I really don't like Bobby and his need to scream,https://www.youtube.com/watch?v=RLTzb7RIf78,,,,
Three ,Olltii,The XX ft Zico ,8,,https://www.youtube.com/watch?v=aluqwAM4_tM,,,,
Three ,Bobby ,YGGR#Hip Hop ,5,,https://www.youtube.com/watch?v=qsUA0w6uYEE,,,,
Three ,Vasco,187 ft Im Sung-hyun,10,,https://www.youtube.com/watch?v=GvoF4Fc8pF0,,,,
Three ,C Jamm,Good Day ft Swings,5,,https://www.youtube.com/watch?v=_J4f0pBHjTY,,,,
Three ,C Jamm,Shit ,2,"My song is full of swear words, im so hardcore",https://www.youtube.com/watch?v=wjvvjWO0sME,,,,
Three ,Iron ,Malice / Venom ,7,,https://www.youtube.com/watch?v=ctYkpf1Kntw,,,,
Three ,Bobby ,Raise Your Guard and Bounce / Bounce,6,,https://www.youtube.com/watch?v=xYeCrKm8Oqk,,,,
Three ,Vasco aka Bill Stax ,Unfinished Story ft Kim Nayoung ,5,,https://www.youtube.com/watch?v=w9bL5mmR2Wg,,,,
Three ,N/A,,,,,,,,
Four ,"Sik-k, Lil Boy Geegooin ","Respect ft Loco, Gray, DJ Punpkin ",10,,https://www.youtube.com/watch?v=qSPHD6zAS8I,,,,
Four ,"Innovator, Incredivle, Superbee ",OG (Be Original),5,Fuck Superbee,https://www.youtube.com/watch?v=mwyicOqp61k,,,,
Four ,"Basick, Blacknut, Microdot","My Zone ft San E, Verbal Jint ",7,Fuck San E,https://www.youtube.com/watch?v=11IjhTdGDk0,,,,
Four ,"Ja Mezz, AndUp, Song Mino ",Turtle Ship ft Paloalto ,9,,https://www.youtube.com/watch?v=g7j2NjAMLos,,,,
Four ,"Song Mino, Zico, Paloalto",Moneyflow,9,,https://www.youtube.com/watch?v=5PCbdenTD1I,,,,
Four ,"Lil Boi, Loco, Jay Park ",On it + Bo$$,6,The ending lost it a whole point,https://www.youtube.com/watch?v=SgOy36RFlP0,,,,
Four ,Basick ,Gxnzi ft Vasco,7,,https://www.youtube.com/watch?v=De3XT2yf7rg,,,,
Four ,Innovator ,Move Than a TV Star ft Lee Hi ,10,,https://www.youtube.com/watch?v=Gh3cQzXR3HM,,,,
Four ,"Blacknut, Verbal Jint, San E",M.I.L.E. (Make it Look Easy) ,7,Fuck San E,https://www.youtube.com/watch?v=H0GW8bbpVEQ,,,,
Four ,"Incredivle , Tablo, Jinusean ",Oppa's Car ,9,,https://www.youtube.com/watch?v=he6f6JjhHm8,,,,
Four ,Song Mino,Fear ft. Taeyang ,9,,https://www.youtube.com/watch?v=38rUBLSEhw8,,,,
Four ,Blacknut ,What Can I Do / Something i can do  ft Jessi ,8,,https://www.youtube.com/watch?v=j32Pi05hRdo,,,,
Four ,Basick ,Stand Up ft Mamamoo,10,,https://www.youtube.com/watch?v=iepayV4vq_0,,,,
Four ,"Song Mino, Zico ",Okey Dokey ,3,,https://www.youtube.com/watch?v=1IDknHU6cUI,,,,
Four ,Basick ,Better Days ft Gummy ,10,,https://www.youtube.com/watch?v=zZDsBRy3mro,,,,
Four ,Song Mino,"Victim + Poppin Bottles ft B-Free, Paloalto",6,Apparently you weren't the Winner after all.,https://www.youtube.com/watch?v=6fHwT17P9P8,,,,
Four ,"Basick, Verbal Jint, San E ",I'm the Man ,5,Fuck San E,https://www.youtube.com/watch?v=Z4LHE7mNY2o,,,,
Four ,"One, Hanhae, Geegooin, P- Type ",Next Level ,8,,https://www.youtube.com/watch?v=MoAev9AW5yY,,,,
Four ,N/A,,,,,,,,
Five ,"Simon D, one, G2, Bewhy",I'm Not That Person You Used to Know / Who You? ,4,,https://www.youtube.com/watch?v=ro50_Gme8Nk,,,,
Five ,"The Quiett, Superbee, myundo, Flowsik, Dok2 ",Air DoTheQ,7,Fuck Superbee,https://www.youtube.com/watch?v=XP5Dh9iAEv4,,,,
Five ,"Zion T, C Jamm, Reddy, Xitsuh",$insa,5,,https://www.youtube.com/watch?v=qnBNyqOJmLA,,,,
Five ,"Mad Clown, Donutman, Boi B, #Gun",Rose of Sharon / Mugunghwa,4,,https://www.youtube.com/watch?v=vNZxoOS6VUg,,,,
Five ,"Mad Clown, #Gun",Going Home ft Gummy ,9,,https://www.youtube.com/watch?v=gViBKKsdOk0,,,,
Five ,"Simon D, Gray, One ",Comfortable ,8,,https://www.youtube.com/watch?v=-OffEv5JZSM,,,,
Five ,Zion T,Knock ,8,,https://www.youtube.com/watch?v=P8TUm-K-zds,,,,
Five ,"Zion T, Kush ",Machine Gun ft Mino ,3,,https://www.youtube.com/watch?v=ZsiGpkO7sDQ,,,,
Five ,"C Jamm, Reddy ",Wanted ,6,,https://www.youtube.com/watch?v=BXVT2kbaq2k,,,,
Five ,"Superbee, myundo",Beverly 1 lls,2,Fuck Superbee,https://www.youtube.com/watch?v=Mln_EMaHnqI,,,,
Five ,"Flowsik, The Quiett, Dok2",Rapstar (remix),9,,https://www.youtube.com/watch?v=aVwJKIfwtu0,,,,
Five ,"Zion T, Xitsuh",Drummer ft Olltii,7,,https://www.youtube.com/watch?v=QOF6QC85FGY,,,,
Five ,Bewhy,Forever ,8,,https://www.youtube.com/watch?v=feEOJKAVKEw,,,,
Five ,Boi B ,"Swallowtail/ Horangnabi ft Gill, Rhythm Power, kim Heung-gook",10,"Something not serious, it was fun. Also got 2 bonus points for WJSN",https://www.youtube.com/watch?v=ukItRrBzlqg,,,,
Five ,#Gun,Crazy Guy/ MiChinNom ft jessi ,8,,https://www.youtube.com/watch?v=yKtYOe3brkI,,,,
Five ,C Jamm,Beautiful ft Zico,5,,https://www.youtube.com/watch?v=YxAvbXXdugM,,,,
Five ,Xitsuh,And ft Suran ,8,,https://www.youtube.com/watch?v=K4j0BqPGAnk,,,,
Five ,Superbee,Sun Block ft Microdot,5,Fuck Superbee,https://www.youtube.com/watch?v=36YBXjkQiJU,,,,
Five ,Bewhy,Day Day ft Jay Park ,10,,https://www.youtube.com/watch?v=KQVWDEFFQr8,,,,
Five ,Reddy ,Like This ft Bobby ,3,This song got two bonus points for the live band,https://www.youtube.com/watch?v=EzmoE5YlMdE,,,,
Five ,"The Quiett, Dok2, Superbee ",Air DoTheQ part 2,7,Fuck Superbee,https://www.youtube.com/watch?v=MMGAmcMmttk,,,,
Five ,C Jamm,MM,7,,https://www.youtube.com/watch?v=zMZZTTsW9dw,,,,
Five ,"Bewhy, Simon D ",XamBaqJa,4,,https://www.youtube.com/watch?v=2cFTTD_BY7c,,,,
Five ,C Jamm,Let It Be ft Crush ,8,,https://www.youtube.com/watch?v=x56Jqp5avEs,,,,
Five ,Bewhy ,Fake pt 2,8,,https://www.youtube.com/watch?v=Q0MlUiMB2N4,,,,
Five ,"Flowsik, Hash Swan, Boi B, Wun, G2",Goblin / Dokkaebi ,6,,https://www.youtube.com/watch?v=QpYvnh0-ApU,,,,
Five ,Mad Clown ,Bad Blood ,3,,https://www.youtube.com/watch?v=IcnmUdmY3wo ,,,,
Five ,N/A,,,,,,,,
