Group/Artist,Song,Score,Comment,YT Link,Due November 1st
2NE1,Fire,10,"One of K-pop's most iconic debuts ever from the original Monster Rookies, this song really stands the test of time. ""Independent Women"" style songs in K-pop are often great because songwriters wisely opt for stronger backings, and the backings also carry this song forward.",https://www.youtube.com/watch?v=ISEoXdHb4W4,
2NE1,I Don't Care,8,"2NE1 hit gold early in their career, like this song.",https://www.youtube.com/watch?v=4MgAxMO1KD0,
2NE1,Clap Your Hands,8,"To Anyone is one of my favorite K-pop albums ever, and it's because of songs like this. I don't really have a choice, I'm compelled to clap my hands while listening to this song.",https://www.youtube.com/watch?v=ZTw-UM5Jy4E,
2NE1,Go Away,8,"Another single from ""To Anyone"", ""Go Away"" really demonstrates the kind of infectious and fun pop songwriting that was YG's trademark... Until they threw it away for sonic trend dickriding. This was also THE SHIT live.",https://www.youtube.com/watch?v=3yW13T2sfKg,
2NE1,Can't Nobody,9,"Another single off of ""To Anyone"", this song just FUCKING BANGS. Don't pretend the ""I'm so bad, I'm so bad, but I'm so good, so good"", ""Can't nobody hold us down"", ""Let's rock, just take it to the top, ain't never gonna stop"" hooks aren't catchy as ALL FUCK.",https://www.youtube.com/watch?v=Ihi_kJJj_8A,
2NE1,It Hurts,4,"One of the few misses in ""To Anyone"".",https://www.youtube.com/watch?v=aUiMaz4BNKw,
2NE1,Lonely,10,"Much like MBK, YG also had their own brand of ballad songwriting, and this one honestly is probably their best.",https://www.youtube.com/watch?v=5n4V3lGEyG4,
2NE1,I Am The Best,10,"Their most iconic song, and while it may not be the best, it still FUCKING BANGS. That riff is so ball-smacking it turns men into eunuchs. Still one of K-pop's best party starters, a decade into its release.",https://www.youtube.com/watch?v=j7_lSP8Vc3o,
2NE1,Hate You,10,"My favorite 2NE1 song, there's so much that can go wrong in a song without any instrumental breaks, but because the songwriters are awesome, they added catchy melodies after catchy melodies after catchy melodies and the song is a sheer fucking earworm from start to finish.",https://www.youtube.com/watch?v=NB5jyYD2WEw,
2NE1,Ugly,10,"A great YG style pop-rock song, and very heartfelt lyrics.",https://www.youtube.com/watch?v=NGe0hHvAGkc,
2NE1,I Love You,9,"It's not 2NE1's best track from 2012, that would be ""Ugly"" and the Japanese release ""Scream"", but it still fucking bangs.",https://www.youtube.com/watch?v=LUrUPzLm5SI,
2NE1,Falling In Love,8,"Nobody expected, or wanted for that matter, 2NE1 to release a reggae-lite single to follow their 2012 releases, but the song is a fucking banger so now everyone is fine with it.",https://www.youtube.com/watch?v=zEVd9pSG85Q,
2NE1,Do You Love Me,1,"A throwback to their ""To Anyone"" sound, but if the songwriters forgot to write good songs.",https://www.youtube.com/watch?v=HRTb81FpWq0,
2NE1,Missing You,1,"Builds up to something great, then goes ballad in the chorus. It's just like having sex, and just as you're getting there, you suddenly get a call from your mum asking you to buy soy sauce before you go home, then she hears your partner's breathing then suddenly accuses you of ""not being the child I brought up"" and saying ""kids these days grow up so fast and leave their parents early"" and then of course your partner hears that and suddenly everything becomes awkward and your libido dies down and won't recover for 2 whole years.",https://www.youtube.com/watch?v=AG0jlKdB1s0,
2NE1,Come Back Home,5,"2NE1 went full YOLO with this release, with YG's brand new sonic trend dickriding approach to songwriting, and they forgot everything good about 2NE1's back catalogue.",https://www.youtube.com/watch?v=vLbfv-AAyvQ,
2NE1,Gotta Be You,3,"A hodge-podge of unfinished musical ideas, seriously, CL's part is a different song - a pedestrian trap section with a horrifying harmonica, Dara's is a boring build-up, while Bom's and Minzy's parts are the only sections with an actual semi-coherent idea, but on it's own, the generic Disco beat and rehashed early-YG style melodies isn't enough to carry a whole song, especially something as disjointed as this.",https://www.youtube.com/watch?v=zdKTgwffmdo,
2NE1,Goodbye,3,"Look, I love 2NE1 as much as the next person, but bullshit lazy ballads are never a good way to say goodbye. Would've been infinitely better if they did ""I Am The Best"" 2.0 or ""Fire"" 2.0.",https://www.youtube.com/watch?v=wEkLHC7l25w,
2NE1,Overall,9,"One of my favorite girl groups ever, 2NE1 were pretty much unstoppable during their peak from 2009-2012. and while sadly we didn't get as much songs from that time as we wanted, and they slowed down starting 2013, their back catalogue is still honestly pretty fucking solid. Not to mention they're quite easily the best K-pop girl group live show I've seen ever - ""Nolza"" and ""Now Or Never"" are some of the best K-pop concerts I'd ever been in, right up there with BigBang and BTS shows. 2NE1 just had charisma to burn, and despite the fact that their ""Independent Women"" persona is a corporate product (as is everything in a glamour industry), I still got caught in it and I thorougly enjoyed the girl crush experience.",,
4Minute,Hot Issue,5,"Pretty decent as far as debuts go, but certainly far from 4Minute's best.",https://www.youtube.com/watch?v=nPPKwg5eQ4o,
4Minute,Muzik,4,A decent chorus saves this otherwise bad song.,https://www.youtube.com/watch?v=aNYImwBU4f4,
4Minute,What A Girl Wants,6,"Far from the best ""cute"" 4Minute song, please refer to ""Heart To Heart"". That being said, this isn't all that bad.",https://www.youtube.com/watch?v=f07vXjZkfjk,
4Minute,Jingle Jingle,3,Childish.,https://www.youtube.com/watch?v=DI3P0ATq97U,
4Minute,HuH,10,A song made as a weapon against North Korea. Enough said.,https://www.youtube.com/watch?v=kRbIZtUS2Ag,
4Minute,I My Me Mine,7,Banger!,https://www.youtube.com/watch?v=OGvwy3qhjDM,
4Minute,Heart to Heart,10,"My favorite 4Minute song and K-pop's best ever karaoke song, if you don't believe me, watch it live.",https://www.youtube.com/watch?v=h97jt1XtnGQ,
4Minute,Mirror MIrror,4,The chorus is a bit of a turn off and doesn't reward the great build-up with a good payoff.,https://www.youtube.com/watch?v=1fOG_wcV_oU,
4Minute,Volume Up,10,"Very accurate song title, this subwoofer wrecker gets louder as it goes and explodes into a very banging chorus. The visuals in this era are also to die for.",https://www.youtube.com/watch?v=qsWl1--Niyg,
4Minute,Over and Over,9,I remember the days when I listened to this great song over and over.,https://www.youtube.com/watch?v=_2ANhvjbGyA,
