Group/Artist,Song,Score,Comment,YT Link,Due March 17th
CNBLUE,I'm a Loner,9,da di do dee da da dooooo,https://www.youtube.com/watch?v=7arOrCfvumQ&ab_channel=CNBLUE%28%EC%94%A8%EC%97%94%EB%B8%94%EB%A3%A8%29,
CNBLUE,Love,8,"The mix of acoustic and electric guitar here is nice, along with a very catchy chorus. ",https://www.youtube.com/watch?v=sl1U81q_vkY&ab_channel=CNBLUE%28%EC%94%A8%EC%97%94%EB%B8%94%EB%A3%A8%29,
CNBLUE,Intuition,7,"This is decent, has that minor sound that I like, but nothing really stuck with me as something I really liked. ",https://www.youtube.com/watch?v=VfDyOYP3IwM&ab_channel=1theK%28%EC%9B%90%EB%8D%94%EC%BC%80%EC%9D%B4%29,
CNBLUE,Love Girl (new ver),8,Another jam from them. Bass sounds nice here. They have some bops amongst the ok songs for sure. ,https://www.youtube.com/watch?v=YmyCA91xJ5Y&ab_channel=CNBLUE%28%EC%94%A8%EC%97%94%EB%B8%94%EB%A3%A8%29,
CNBLUE,Sill in Love,7,"Ok, but kinda forgettable",https://www.youtube.com/watch?v=IlrNytpPv34&ab_channel=1theK%28%EC%9B%90%EB%8D%94%EC%BC%80%EC%9D%B4%29,
CNBLUE,Hey You,8,"Pretty good, chorus is very fun. I like the little dododo adlibs too",https://www.youtube.com/watch?v=hZYuZ5DIvn4&ab_channel=CNBLUE%28%EC%94%A8%EC%97%94%EB%B8%94%EB%A3%A8%29,
CNBLUE,I'm Sorry,9,This is a jam.,https://www.youtube.com/watch?v=4p3cKsDCA0Y&ab_channel=CNBLUE%28%EC%94%A8%EC%97%94%EB%B8%94%EB%A3%A8%29,
CNBLUE,Can't Stop,7,"Not bad, wouldn't seek it out, but catchy enough.",https://www.youtube.com/watch?v=75KBwVtd_W0&ab_channel=CNBLUE%28%EC%94%A8%EC%97%94%EB%B8%94%EB%A3%A8%29,
CNBLUE,Cinderella,7,"Pretty catchy, but the chorus gets old fast. Some nice instrumental and harmonies in the verses.",https://www.youtube.com/watch?v=CkY8I7s_TOA&ab_channel=StoneMusicEntertainment,
CNBLUE,You're So Fine,9,Love this jazz band funk instrumental. Bass guitar pops off the entire song. ,https://www.youtube.com/watch?v=wAZJ_9D6lM4&ab_channel=1theK%28%EC%9B%90%EB%8D%94%EC%BC%80%EC%9D%B4%29,
CNBLUE,Between Us,7,"This was ok, but felt more of a generic synthy boy group dance track rather than a song for a band. ",https://www.youtube.com/watch?v=oHaSMGJRSAQ&ab_channel=1theK%28%EC%9B%90%EB%8D%94%EC%BC%80%EC%9D%B4%29,
CNBLUE,"Then, Now, and Forever",8,"Decent band ballad. I like the guitar riff, but it does sound very familiar. ",https://www.youtube.com/watch?v=236ddk-0sOI&ab_channel=FNCEnt,
CNBLUE,Overall,8,Shame that dude is trash. Apart from him this group is mostly ok to great. Not bad (band bias coming in here). ,,
Royal Pirates,Shout Out (Synth Rock Version),9,This is just my kind of 00s band style. Suddenly went EDM on the bridge?,https://www.youtube.com/watch?v=DkUUTxcoBo0&ab_channel=RoyalPiratesOfficialChannel,
Royal Pirates,Drawing The Line,10,"Great funky band bop. Also, Somi's dad???",https://www.youtube.com/watch?v=w5c9H302jzk&ab_channel=RoyalPiratesOfficialChannel,
Royal Pirates,Betting Everything,9,Pretty good band ballad with a bit of a jazzy groove to it. Nice vocals too. ,https://www.youtube.com/watch?v=BeEdHpB_D9k&ab_channel=RoyalPirates-Topic,
Royal Pirates,Seoul Hillbilly,8,I like the keyboard synths and poppy guitar in this. ,https://www.youtube.com/watch?v=PRjX9gbeEIA&ab_channel=RoyalPirates-Topic,
Royal Pirates,Love Toxic,10,"Really like their style of music, bop. ",https://www.youtube.com/watch?v=t4wkDFuqVxo&ab_channel=RoyalPiratesOfficialChannel,
Royal Pirates,Run Away,8,"I really like the bridge breakdown here. The rest of the song is a bit more simple though, so it doesn't get as high a score. ",https://www.youtube.com/watch?v=-ldI-oGzQQk&ab_channel=RoyalPiratesOfficialChannel,
Royal Pirates,Overall,9,I surprisingly enjoyed this group a lot (surprising because a lot of others seemed to shit on them). Looking forward to checking out more from them later. ,,
Day6,Congratulations,10,"One of the best debuts I've heard. Yes I am very biased. This is the perfect intro to Day6 as a group, song is a banger and the lyrics tell a sad story. ",https://www.youtube.com/watch?v=x3sFsHrUyLQ&ab_channel=JYPEntertainment,
Day6,Letting Go,10,"I love the melody in this song, and the vocals are fantastic. Sungjin kills the prechorus. ",https://www.youtube.com/watch?v=1-1TGNmQqZA&ab_channel=JYPEntertainment,
Day6,I Wait,10,"One of Day6's most iconic songs, great verses, great chorus, banger. ",https://www.youtube.com/watch?v=O3nFopIjmjI&ab_channel=JYPEntertainment,
