Group/Artist,Song,Score,Comment,YT Link,Due November 1st
2NE1,Fire,10,"FIRE man, this was the shit in here back in 2009 and for good reason.",https://www.youtube.com/watch?v=ISEoXdHb4W4,
2NE1,I Don't Care,10,I'm the only one I know who prefers this over the reggae mix.,https://www.youtube.com/watch?v=4MgAxMO1KD0,
2NE1,Clap Your Hands,10,BANGS,https://www.youtube.com/watch?v=ZTw-UM5Jy4E,
2NE1,Go Away,10,BANGS,https://www.youtube.com/watch?v=3yW13T2sfKg,
2NE1,Can't Nobody,10,I'M SO BAD BAD BUT I'M SO GOOD GOOD,https://www.youtube.com/watch?v=Ihi_kJJj_8A,
2NE1,It Hurts,8,it hurts me that 2ne1 disbanded.,https://www.youtube.com/watch?v=aUiMaz4BNKw,
2NE1,Lonely,10,2ne1 even got their ballads right back then holy shit!,https://www.youtube.com/watch?v=5n4V3lGEyG4,
2NE1,I Am The Best,10,"NAEGA JEIL JAL NAGA! As iconic as a K-pop song can be, and for very good reason.",https://www.youtube.com/watch?v=j7_lSP8Vc3o,
2NE1,Hate You,10,Catchy as all fuck.,https://www.youtube.com/watch?v=NB5jyYD2WEw,
2NE1,Ugly,10,"Less talked about compared to the other rock-style YG songs like ""Crooked"" or ""Sober"", but I think this is their best of this style.",https://www.youtube.com/watch?v=NGe0hHvAGkc,
2NE1,I Love You,10,BANGS,https://www.youtube.com/watch?v=LUrUPzLm5SI,
2NE1,Falling In Love,10,"I remember being shocked 2ne1 did this reggae shit when it first came out, but it was actually great lol.",https://www.youtube.com/watch?v=zEVd9pSG85Q,
2NE1,Do You Love Me,4,it's harmless but nowhere near their best.,https://www.youtube.com/watch?v=HRTb81FpWq0,
2NE1,Missing You,5,meeeeh that choice to go slow in the chorus sucks.,https://www.youtube.com/watch?v=AG0jlKdB1s0,
2NE1,Come Back Home,8,YOLOSWEG,https://www.youtube.com/watch?v=vLbfv-AAyvQ,
2NE1,Gotta Be You,7,The chorus saves this otherwise messy song.,https://www.youtube.com/watch?v=zdKTgwffmdo,
2NE1,Goodbye,6,Snore... But this does make me cry so fuck it I'll give it a 6.,https://www.youtube.com/watch?v=wEkLHC7l25w,
2NE1,Overall,9,"2ne1 just BANGS man, and while their later output kinda not BANGS, their earlier output is up there in the best girl group releases ever.",,
4Minute,Hot Issue,8,Kinda BANGS,https://www.youtube.com/watch?v=nPPKwg5eQ4o,
4Minute,Muzik,8,Kinda BANGS,https://www.youtube.com/watch?v=aNYImwBU4f4,
4Minute,What A Girl Wants,3,"I don't exactly know what a girl wants, at least that's what my ex told me, but I'm pretty sure this song isn't what she wants either.",https://www.youtube.com/watch?v=f07vXjZkfjk,
4Minute,Jingle Jingle,1,I've a few Filipino-language jokes I can make here but it wouldn't be appreciated so I won't.,https://www.youtube.com/watch?v=DI3P0ATq97U,
4Minute,HuH,10,HIT MY HEART TOO WILL YA,https://www.youtube.com/watch?v=kRbIZtUS2Ag,
4Minute,I My Me Mine,10,yes I'm yours Jihyun!!,https://www.youtube.com/watch?v=OGvwy3qhjDM,
