Group/Artist,Song,Score,Comment,YT Link,Due November 1st
2NE1,Fire,8,banger banger banger ,https://www.youtube.com/watch?v=ISEoXdHb4W4,
2NE1,I Don't Care,5,I don’t care ehehehe ,https://www.youtube.com/watch?v=4MgAxMO1KD0,
2NE1,Clap Your Hands,3,,https://www.youtube.com/watch?v=ZTw-UM5Jy4E,
2NE1,Go Away,5,,https://www.youtube.com/watch?v=3yW13T2sfKg,
2NE1,Can't Nobody,5,cause im so bad bad good good,https://www.youtube.com/watch?v=Ihi_kJJj_8A,
2NE1,It Hurts,7,,https://www.youtube.com/watch?v=aUiMaz4BNKw,
2NE1,Lonely,10,:sob:,https://www.youtube.com/watch?v=5n4V3lGEyG4,
2NE1,I Am The Best,10,,https://www.youtube.com/watch?v=j7_lSP8Vc3o,
2NE1,Hate You,4,,https://www.youtube.com/watch?v=NB5jyYD2WEw,
2NE1,Ugly,9,fuck yg ,https://www.youtube.com/watch?v=NGe0hHvAGkc,
2NE1,I Love You,9,,https://www.youtube.com/watch?v=LUrUPzLm5SI,
2NE1,Falling In Love,7,,https://www.youtube.com/watch?v=zEVd9pSG85Q,
2NE1,Do You Love Me,5,,https://www.youtube.com/watch?v=HRTb81FpWq0,
2NE1,Missing You,7,BOMMMM,https://www.youtube.com/watch?v=AG0jlKdB1s0,
2NE1,Come Back Home,9,,https://www.youtube.com/watch?v=vLbfv-AAyvQ,
2NE1,Gotta Be You,5,,https://www.youtube.com/watch?v=zdKTgwffmdo,
2NE1,Goodbye,8,,https://www.youtube.com/watch?v=wEkLHC7l25w,
2NE1,Overall,7,poor 2ne1. they arent bad. the haters in here are just strong. Park Bom QUEEN .,,
4Minute,Hot Issue,6,,https://www.youtube.com/watch?v=nPPKwg5eQ4o,
4Minute,Muzik,6,,https://www.youtube.com/watch?v=aNYImwBU4f4,
4Minute,What A Girl Wants,4,,https://www.youtube.com/watch?v=f07vXjZkfjk,
4Minute,Jingle Jingle,1,I mean do I even need to explain ,https://www.youtube.com/watch?v=DI3P0ATq97U,
4Minute,HuH,3,they were just screaming through out the whole song ,https://www.youtube.com/watch?v=kRbIZtUS2Ag,
4Minute,I My Me Mine,6,,https://www.youtube.com/watch?v=OGvwy3qhjDM,
4Minute,Heart to Heart,4,,https://www.youtube.com/watch?v=h97jt1XtnGQ,
4Minute,Mirror MIrror,9,,https://www.youtube.com/watch?v=1fOG_wcV_oU,
4Minute,Volume Up,8,,https://www.youtube.com/watch?v=qsWl1--Niyg,
4Minute,Over and Over,7,,https://www.youtube.com/watch?v=_2ANhvjbGyA,
4Minute,What's Your Name?,2,its soo annoying lol,https://www.youtube.com/watch?v=H-IJWqIHioA,
4Minute,Is It Poppin'?,4,,https://www.youtube.com/watch?v=DRSRpXPZVdM,
4Minute,Watcha Doin' Today,7,,https://www.youtube.com/watch?v=74Pru-JQzRk,
4Minute,Thank You,4,zzzzz,https://www.youtube.com/watch?v=0WGDBzBzqKM,
4Minute,Cold Rain,8,,https://www.youtube.com/watch?v=ZT9zbZGB2gE,
4Minute,Crazy,10,by far their best song ,https://www.youtube.com/watch?v=1nCLBTmjJBY,
4Minute,Hate You,6,,https://www.youtube.com/watch?v=D_F9HUTYnl0,
4Minute,Overall,5,they arent that great. Just got a few hits lol,,
APink,I Don't Know,4,its fine. I wil just never listen to it again and I may have cringed at parts ,https://www.youtube.com/watch?v=zI6MvzIZ3CA,
APink,My My,4,,https://www.youtube.com/watch?v=dA9niwM2r9Q,
APink,Hush,5,I am thankfull that for the most part they don’t sing this way anymore,https://www.youtube.com/watch?v=YXZ19CvCmto,
APink,NoNoNo,10,,https://www.youtube.com/watch?v=hspqQuuuGIw,
APink,Good Morning Baby,4,zzzzzz,https://www.youtube.com/watch?v=SshpsY8GILg,
APink,Mr. Chu,9,,https://www.youtube.com/watch?v=K5H-GvnNz2Y,
APink,Luv,9,l o v e love :heart: ,https://www.youtube.com/watch?v=8dVjSvLzD1I,
APink,Promise U,4,,https://www.youtube.com/watch?v=nzljAKtsOuw,
APink,Remember,6,,https://www.youtube.com/watch?v=bXlrqQKbjSM,
APink,The Wave,6,eunji ,https://www.youtube.com/watch?v=yXvCNLTWwB0,
APink,Only One,7,the instrumental in the chorus is really cool ,https://www.youtube.com/watch?v=kCSFdRf0210,
APink,Cause You're My Star,5,,https://www.youtube.com/watch?v=-r5ULxo4WD0,
APink,Always,6,,https://www.youtube.com/watch?v=b0hz_eJmj7E,
APink,Five,8,,https://www.youtube.com/watch?v=b22Ed7f0D-0,
APink,Miracle,6,,https://www.youtube.com/watch?v=fihius0K9B0,
APink,I'm So Sick,10,,https://www.youtube.com/watch?v=F4oHuML9U2A,
APink,%% (Eung Eung),10,,https://www.youtube.com/watch?v=499YUeNoYVE,
APink,Dumhdurum,9,,https://www.youtube.com/watch?v=WqzTRK5GPWQ,
APink,Overall,7,thankful fo the change up cause they had some rough pathches ,,
f(x),La Cha Ta,9,,https://www.youtube.com/watch?v=H7MHZpSNJQc,
f(x),Chu~,3,the intrumental is odd ,https://www.youtube.com/watch?v=Cnz2n5VcV4Q,
f(x),Nu ABO,3,,https://www.youtube.com/watch?v=E8ZrPFMr_nY,
f(x),Pinocchio (Danger),3,these vocals….,https://www.youtube.com/watch?v=kKS12iGFyEA,
f(x),Hot Summer,8,,https://www.youtube.com/watch?v=z-rftpZ7kCY,
f(x),Electric Shock,9,,https://www.youtube.com/watch?v=n8I8QGFA1oM,
f(x),Rum Pum Pum Pum,10,banger ,https://www.youtube.com/watch?v=xnku4o3tRB4,
f(x),Red Light,3,its kinda just a bunch of noise bunched together with a decent sm bridge ,https://www.youtube.com/watch?v=iv-8-EgPEY0,
f(x),4Walls,9,,https://www.youtube.com/watch?v=4j7Umwfx60Q,
f(x),All Mine,7,luna luna luna ,https://www.youtube.com/watch?v=Z0S3knWIdrY,
f(x),Overall,6,very hit or miss,,
Kara,Break it,7,,https://www.youtube.com/watch?v=9NIYJ8A5R0s,
